Time [s], x, der(x)
0.401, 0.66965, -0.66965
0.4015, 0.669315, -0.669315
0.402, 0.668981, -0.668981
0.4025, 0.668646, -0.668646
0.403, 0.668312, -0.668312
0.4035, 0.667978, -0.667978
0.404, 0.667644, -0.667644
0.4045, 0.66731, -0.66731
0.405, 0.666977, -0.666977
0.4055, 0.666643, -0.666643
0.406, 0.66631, -0.66631
0.4065, 0.665977, -0.665977
0.407, 0.665644, -0.665644
0.4075, 0.665311, -0.665311
0.408, 0.664979, -0.664979
0.4085, 0.664646, -0.664646
0.409, 0.664314, -0.664314
0.4095, 0.663982, -0.663982
0.41, 0.66365, -0.66365
0.4105, 0.663319, -0.663319
0.411, 0.662987, -0.662987
0.4115, 0.662656, -0.662656
0.412, 0.662324, -0.662324
0.4125, 0.661993, -0.661993
0.413, 0.661662, -0.661662
0.4135, 0.661332, -0.661332
0.414, 0.661001, -0.661001
0.4145, 0.660671, -0.660671
0.415, 0.66034, -0.66034
0.4155, 0.66001, -0.66001
0.416, 0.65968, -0.65968
0.4165, 0.659351, -0.659351
0.417, 0.659021, -0.659021
0.4175, 0.658691, -0.658691
0.418, 0.658362, -0.658362
0.4185, 0.658033, -0.658033
0.419, 0.657704, -0.657704
0.4195, 0.657375, -0.657375
0.42, 0.657047, -0.657047
0.4205, 0.656718, -0.656718
0.421, 0.65639, -0.65639
0.4215, 0.656062, -0.656062
0.422, 0.655734, -0.655734
